id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.07,8351317131,15,8931856309,1207575.0,9.08,9.04,0.01222428,0.13495,6770296.0,0.08113,921202408.9,985239504.0,,10.14,-10.51578,2025-03-10T09:26:43.294Z,0.799859,1033.86509,2019-12-24T15:14:35.376Z,,2026-03-07T01:33:00.178Z
hyperliquid,hype,Hyperliquid,https://coin-images.coingecko.com/coins/images/50882/large/hyperliquid.jpg?1729431300,30.86,7351343069,16,29674673899,241943559.0,31.26,29.54,0.42989,1.41275,87973753.0,1.2112,238385315.9541414,962274028.9541414,1000000000.0,59.3,-47.96404,2025-09-18T03:30:30.650Z,3.81,710.22139,2024-11-29T09:30:30.871Z,,2026-03-07T01:32:59.466Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,348.67,6438296284,17,6438296284,88310706.0,364.71,342.14,-11.36337219169053,-3.15619,-188655867.52679443,-2.8468,18446744.07370955,18446744.07370955,,797.73,-56.29237,2026-01-14T19:34:07.049Z,0.216177,161189.82908,2015-01-14T00:00:00.000Z,,2026-03-07T01:33:01.178Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/Chainlink_Logo_500.png?1760023405,8.79,6220552739,18,8784851008,311537575.0,9.28,8.69,-0.43207968277467934,-4.68773,-289088051.0249853,-4.44092,708099970.4525867,1000000000.0,1000000000.0,52.7,-83.3287,2021-05-10T00:13:57.214Z,0.148183,5828.61304,2017-11-29T00:00:00.000Z,,2026-03-07T01:32:56.700Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,0.99922,5948951995,19,5948951995,93518511.0,0.999866,0.998799,-0.000153262808919252,-0.01534,-17696263.633259773,-0.29659,5955159756.898902,5955159756.898902,,1.034,-3.38286,2025-12-09T17:10:12.652Z,0.929486,7.48352,2024-10-04T07:57:15.809Z,,2026-03-07T01:32:58.110Z
canton-network,cc,Canton,https://coin-images.coingecko.com/coins/images/70468/large/Canton-Ticker_%281%29.png?1762826299,0.152525,5786582595,20,5786582595,38693303.0,0.158545,0.152152,-0.001570492840478638,-1.01917,-55328555.79911709,-0.9471,37957222623.31734,37957222623.31734,,0.194152,-21.4443,2026-02-03T08:02:08.411Z,0.059024,158.39839,2025-12-06T10:32:09.784Z,,2026-03-07T01:33:05.975Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.152781,5041398727,21,7640392756,94774673.0,0.160014,0.150315,-0.003778909157681531,-2.41372,-137525956.83723736,-2.65549,32992930179.09533,50001786883.65895,,0.875563,-82.54622,2018-01-03T00:00:00.000Z,0.00047612,31996.47105,2015-03-05T00:00:00.000Z,,2026-03-07T01:33:04.231Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999561,4603118330,22,4603118330,1383057566.0,0.999988,0.998963,0.00036696,0.03673,-4195907.048323631,-0.09107,4605399929.660077,4605399929.660077,,1.025,-2.45838,2025-05-12T12:36:39.412Z,0.989633,1.01039,2025-10-01T08:51:32.103Z,,2026-03-07T01:33:06.048Z
rain,rain,Rain,https://coin-images.coingecko.com/coins/images/69134/large/Rain_logo_1_.png?1762952191,0.00910126,4351971222,23,10468735502,32237664.0,0.00938361,0.00908712,-0.000208000318092148,-2.23434,-99099912.0290556,-2.22643,478038409250.6483,1149928942836.224,1150000000000.0,0.01090099,-16.47665,2026-02-09T16:50:09.904Z,0.00222126,309.89678,2025-09-14T08:56:57.416Z,,2026-03-07T01:33:02.513Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,4276042629,24,4276042629,45257175.0,1.001,0.999021,0.00023835,0.02384,-6405020.459061623,-0.14956,4275797334.849489,4275797334.849489,,1.22,-17.96934,2020-03-13T03:02:50.373Z,0.88196,13.37213,2023-03-11T07:50:50.514Z,,2026-03-07T01:32:57.400Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.097565,4225926046,25,4879436651,79713062.0,0.100804,0.096351,-0.002295662799311399,-2.29886,-82436797.00859928,-1.91341,43303421564.71874,50000000000.0,50000000000.0,0.569229,-82.80357,2021-09-15T10:40:28.318Z,0.00986111,892.65758,2020-01-02T17:30:24.852Z,,2026-03-07T01:32:59.304Z
paypal-usd,pyusd,PayPal USD,https://coin-images.coingecko.com/coins/images/31212/large/PYUSD_Token_Logo_2x.png?1765987788,0.999938,4207154137,26,4207154137,84404229.0,1.001,0.999273,-0.000407867779572246,-0.04077,-1393696.259197235,-0.03312,4207595590.186775,4207595590.186775,,1.021,-2.04444,2023-10-23T22:44:57.056Z,0.959426,4.21532,2024-12-05T22:31:13.430Z,,2026-03-07T01:33:01.956Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,53.91,4146482917,27,4146759198,271828407.0,55.8,53.21,-1.6538955529466577,-2.97679,-125741987.6424017,-2.94324,76917270.73347135,76922395.73347135,84000000.0,410.26,-86.86302,2021-05-10T03:13:07.904Z,1.15,4591.31092,2015-01-14T00:00:00.000Z,,2026-03-07T01:33:00.572Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,9.04,3900913489,28,4187033086,295368576.0,9.45,8.9,-0.3111864954660799,-3.32926,-134861600.7365656,-3.34165,431771961.1772119,463441061.1772119,720000000.0,144.96,-93.76611,2021-11-21T14:18:56.538Z,2.8,222.61763,2020-12-31T13:15:21.540Z,,2026-03-07T01:33:04.704Z
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,0.90174,3517512278,29,9019297661,505399880.0,0.97391,0.893147,-0.05026193178535243,-5.2796,-203789733.59285116,-5.4763,3899984688.415443,10000000000.0,10000000000.0,5.35,-83.13423,2025-01-04T22:56:18.063Z,0.364846,147.1561,2023-10-19T10:40:30.078Z,,2026-03-07T01:33:04.552Z
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,210.26,3484976540,30,3485163323,232578057.0,229.45,206.37,-17.64491545115203,-7.74207,-293077147.1060815,-7.75736,16588051.7280448,16588940.7905448,21000000.0,3191.93,-93.41262,2016-10-29T00:00:00.000Z,16.08,1207.605,2024-07-05T04:22:29.321Z,,2026-03-07T01:32:58.628Z
